reporter,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
BFA,262.0081787109375,266.4872741699219,246.00283813476562,241.95127868652344,225.71585083007812,241.76101684570312,245.3865509033203,239.79432678222656,244.5823211669922,236.99290466308594,241.8374481201172,,231.11859130859375,245.5845184326172,236.21961975097656,234.3861846923828,212.06541442871094,,204.40206909179688,200.3061981201172
BGD,181.67364501953125,187.43064880371094,184.14556884765625,180.43646240234375,,181.9629364013672,180.40872192382812,182.97901916503906,179.5406036376953,171.46533203125,169.7953643798828,162.68836975097656,164.86302185058594,169.3372802734375,167.6706085205078,161.7976837158203,154.56375122070312,,,
BGR,,149.00946044921875,151.7084503173828,153.3260498046875,150.6790771484375,146.2658233642578,142.3759307861328,138.76519775390625,134.852294921875,131.51976013183594,130.06027221679688,125.193115234375,124.43598175048828,122.9701156616211,130.1088409423828,128.5052947998047,98.38762664794922,99.22386169433594,,
BHR,,,,,,180.16104125976562,,,,92.17721557617188,130.93565368652344,138.95538330078125,138.76422119140625,165.8663330078125,182.259033203125,162.7991485595703,153.51766967773438,166.70028686523438,135.28170776367188,148.5946502685547
BHS,,,196.25796508789062,180.8105926513672,180.9702911376953,174.49661254882812,174.8969268798828,176.48345947265625,172.7711639404297,183.1103973388672,170.91468811035156,171.2372283935547,167.56021118164062,163.415771484375,168.83944702148438,162.5655059814453,176.96116638183594,177.0965576171875,171.82229614257812,266.3517761230469
BIH,,,,,,,,,165.3961181640625,160.0074462890625,157.0249481201172,149.64820861816406,148.457275390625,148.92425537109375,155.07110595703125,158.1101837158203,150.8365936279297,141.37059020996094,142.02615356445312,129.6198272705078
BLR,,,,180.09654235839844,182.8179473876953,175.7986297607422,169.0601348876953,168.20840454101562,161.7955780029297,156.82925415039062,156.0555877685547,151.54849243164062,150.7991485595703,148.73675537109375,162.57139587402344,161.82301330566406,150.2749786376953,121.52252197265625,129.0508575439453,120.40040588378906
BLZ,206.873779296875,212.3809814453125,204.7859649658203,206.0899200439453,291.7947692871094,195.11508178710938,229.85472106933594,255.1485595703125,198.3177947998047,204.59957885742188,198.26148986816406,206.38194274902344,217.52760314941406,215.056396484375,217.1428985595703,225.5321807861328,217.95277404785156,213.7958526611328,214.04376220703125,
BMU,,,,,,,,,,,,,,,,,,256.9598083496094,242.62818908691406,
BOL,186.5277099609375,190.01564025878906,180.11251831054688,179.02328491210938,184.06907653808594,192.370849609375,194.86251831054688,198.90956115722656,195.42208862304688,191.00027465820312,190.1846466064453,187.228271484375,189.8794708251953,181.4793243408203,189.42506408691406,186.76104736328125,178.44894409179688,174.68569946289062,173.8553466796875,183.24522399902344
